domain_hr	sent_en
repository.ffri.uniri.hr	923
geopark-vis.com	923
www.unizg.hr	923
www.zakon.hr	922
www.hp.com	920
nacionalniportal.hr	919
www.camping-adriatic.com	917
www.expoaus.org	913
eknjiznica.unipu.hr	913
wordplanet.org	911
www.adriadiesel.hr	911
www.buro247.hr	910
hr.wikinew.wiki	910
hkm.hr	908
www.glasistre.hr	904
www.mazars.hr	902
www.pmfst.unist.hr	902
www.lektire.hr	901
www.savacommission.org	900
www.biom.hr	896
www.nekretnineaurea.hr	895
www.biblegateway.com	895
www.postojnska-jama.eu	887
ba.boell.org	886
www.turistplus.hr	884
www.aurea-krk.com	883
www.odraz.hr	883
hr.missalicecosmetics.com	878
visitkarlovaccounty.hr	877
malin-krk.com	875
istyle.hr	875
www.umjetnicki-paviljon.hr	873
manastir-lepavina.org	872
www.portauthority.hr	867
www.omisinfo.com	863
hrzz.hr	861
repozitorij.pbf.unizg.hr	860
www.riteh.uniri.hr	859
stotinka.hr	855
repository.pfri.uniri.hr	850
www.koncar-ket.hr	850
www.lohmann-rauscher.com	849
www.recepti.hr	849
www.in-portal.hr	847
gradst.unist.hr	847
pravri.uniri.hr	846
www.bet-at-home.com	844
sveznalica.zvu.hr	844
www.turistickeprice.hr	839
pozeska-kronika.hr	835
www.bijelisvijet.hr	835
www.se.com	834
www.kreda.hr	833
www.dvorci.hr	832
www.croatia.rit.edu	829
tourist-planet.net	827
www.sucuraj.com	827
www.klikcup.com	826
www.galerija-kula.hr	823
www.apartmanihrvatska.hr	823
miss7mama.24sata.hr	822
www.istria-bike.com	820
natureforpeople.org	815
www.hzjz.hr	815
www.tz-krk.hr	815
hotelikrk.hr	813
b2b.selectedd.hr	812
www.opereta.hr	810
www.nhs.hr	806
www.outwardboundcroatia.com	805
www.ambalaza.hr	804
www.shoes.hr	802
www.springalive.net	800
mup.gov.hr	798
web.archive.org	798
carina.gov.hr	795
www.croatia.org	794
prvahnl.hr	792
virtualna.nsk.hr	792
journals.openedition.org	791
www.cadlab.fsb.hr	787
www.croatia.eu	787
www.journal.hr	785
www.zdravi-grad-porec.hr	784
crnemambe.hr	783
repozitorij.pmf.unizg.hr	783
blog.dnevnik.hr	781
thomasdretart.over-blog.com	780
repozitorij.sumfak.unizg.hr	780
dogma-nekretnine.com	780
mreza.bug.hr	779
repository.medri.uniri.hr	778
nsf-journal.hr	777
existentia.com.hr	776
msg.hr	773
grasscroatia.hpa.hr	771
banke.com.hr	769
hkdrustvo.hr	767
hnk-zajc.hr	766
www.stara.suvremena.hr	766
www.propisi.hr	765
alternativa-za-vas.com	765
huknet1.hr	765
100.fsb.hr	764
www.uljanik.hr	763
www.zv.hr	762
www2.deloitte.com	761
millennium-nekretnine.hr	761
restarted.hr	761
www.be-terna.com	760
gdprinformer.com	757
www.goodyear.eu	756
www.visitcelje.eu	755
repozitorij.ufzg.unizg.hr	755
www.animalabs.com	749
www.evolva.hr	746
www.zutiklik.hr	745
petarbosnicpetrus.wordpress.com	744
www.croatia.hr	742
inf.ffzg.unizg.hr	741
www.mvep.hr	740
hr.revngo.com	739
www.bestsellertv.com	739
www.dunlop.eu	736
www.zeleni-telefon.org	735
orange-nekretnine.hr	734
drumtidam.hr	733
mzo.gov.hr	733
www.ffos.unios.hr	731
www.knjizevnost.hr	729
www.civilnodrustvo.hr	728
www.naturala.hr	727
www.konferencija-restauracija.com	725
www.bhc-zagreb.com	725
www.politikaplus.com	723
www.motus-melior.hr	719
www.split-airport.hr	719
bonobostudio.hr	716
www.kulturni-turizam.com	715
www.paysafecard.com	715
repozitorij.vup.hr	715
java-nekretnine.hr	715
slatkisvijet.com	714
www.nautilus.hr	714
www.wikizero.com	713
mz-consulting.org	708
www.duka-interijeri.hr	708
fiore-tours.com	707
www.canon.hr	705
www.svgroup.hr	705
www.yacht-rent.hr	701
www.ombudsman.hr	699
waytomonte.com	699
www.teatar.hr	699
www.ringeraja.hr	698
www.sancta-domenica.hr	693
www.veemee.eu	692
www.smjestaj.com.hr	691
www.hdmblm.hr	691
www.udruga-spirit.hr	690
intranslaw.hdtp.eu	690
www.koncar-inem.hr	687
svijet-medija.hr	686
www.sacinandanaswami.com	686
