domain_sl	sent_en
www.supernova-qlandia-ptuj.si	606
donaulab.si	606
www.visit-rogaska-slatina.si	606
www.tba.si	606
www.tme.eu	605
www.nrpslo.org	603
mediawatch.mirovni-institut.si	603
gourmet-lj.si	603
www.savacommission.org	602
iaps.zrc-sazu.si	602
www.almamater.si	601
www.ursanina.si	599
www.urbani-izziv.si	599
www.teof.uni-lj.si	595
www.dana.si	594
europacantat.jskd.si	594
www.onko-i.si	593
arava.si	592
www.nets.si	590
www.mojstrana.com	590
fds.nova-uni.si	590
revija.ognjisce.si	589
www.schloesserstrasse.com	588
bankazapodjetnike.si	588
youth-hostel.si	586
e-kino.si	585
2012.festivalmaribor.si	585
rumenestrani.org	585
www.vesna-bukovec.net	582
echa.europa.eu	581
prevajalstvo.ff.uni-lj.si	580
www.fos-unm.si	580
www.brinox.si	579
spanskiborci.si	578
www.sloenduro.com	577
ilirijabiograd.com	577
www.neff-home.com	576
www.nekdanji-pv.gov.si	576
www.positiva.si	575
www.sip.si	574
www.e-apoteka.si	574
www.igre123.com	573
aips.um.si	572
creaplus.com	571
rdecezore.org	570
holy-collies.si	570
vaccination-info.eu	569
www.privacy-regulation.eu	567
ebm.si	567
mreznik.nuk.uni-lj.si	567
sex-trgovina.si	567
www.teces.si	567
brda.si	567
www.esotech.si	565
ikss.zrc-sazu.si	564
www.fzv.um.si	564
www.zetatalk.com	564
www.mlinotest.si	564
www.preseren.net	563
www.urbaniizziv.si	563
www.inotherm.si	563
vivat.si	562
mladinsko.com	561
epuo.acs.si	558
www.be-terna.com	557
new.ita-slo.eu	556
www.ezavod.si	555
motovila.si	554
www.egger.com	554
worldbeeday.org	551
www.amarant.si	549
www.telex.si	548
www.animateka.si	548
www.zrc-sazu.si	547
www.tms.si	547
www.2019.borstnikovo.si	547
ski.emanat.si	546
www.congress-ambassador.si	546
tvojrojstnidan.si	544
www.agen-rs.si	543
www.program-podezelja.si	543
www.fgg.uni-lj.si	543
www.3-port.si	542
propiar.com	541
www.hoteldobregaterana.si	541
www.unicum.si	540
www.slovenia-green.si	540
arm-design.si	538
www.bohinj-hotel.com	538
www.fulda.com	535
lbk.fe.uni-lj.si	535
zalozba.zrc-sazu.si	534
www.sist.si	534
bitcoin.org	532
life-kocevsko.eu	531
www.tenzor.si	531
raznolikost.si	530
www.sicris.si	529
e-mobilitygorenjska.si	529
www.odprtevasi.si	529
www.zakladnicadobrihidej.si	529
www.redkebolezni.si	526
www.comtec.si	524
www.cargo-partner.com	523
kud-logos.si	522
posavje.com	522
www.trescon.si	522
epf.nova-uni.si	521
www.ftpo.eu	521
www.videospotting.org	520
www.kenwoodworld.com	519
ovg.si	518
www.program-svit.si	517
www.fortrade.si	517
www.citylife.si	516
innorenew.eu	513
www.invazivke.si	512
www.iusinfo.si	512
www.springalive.net	512
belafilm.si	511
apod.fmf.uni-lj.si	511
www.bosenogice.si	511
www.celje.info	511
www.via-alpina.org	511
www.inv.si	510
www.l-m.si	510
www.cmc-group.si	509
www.ict-academy.eu	509
mi.zrc-sazu.si	508
www.firstaction.eu	507
www.elgo.si	506
www.instore.si	505
dessa.si	505
www.eurofound.europa.eu	504
www.proalp.si	503
www.ds-rs.si	503
www.storyboardthat.com	503
www.slovenija2001.gov.si	503
dalubeauty.com	503
www.supernova-qlandia-kranj.si	502
www.loski-muzej.si	502
www.vertigo.si	500
onaplus.delo.si	500
www.artofliving.org	499
www.care4climate.si	499
www.marxists.org	498
visitzirovnica.si	498
www.tecos.si	498
www.cesa-project.eu	497
www.kirurski-sanatorij.si	496
www.mojprihranek.si	495
www.rrc-kp.si	495
www.zavod-parasite.si	494
www.kpss.si	492
www.vinakoper.si	491
www.slovenec.org	490
www.domenca.com	489
www.trelleborgslovenija.com	489
isn.zrc-sazu.si	489
www.portoroz.si	487
www.kupibarve.si	487
books2ebooks.eu	487
24kul.si	486
www.livesport.com	486
www2.deloitte.com	484
vsipopusti.si	482
www.daotkm.si	480
vw-ljubljanskimaraton.si	480
imagosloveniae.net	480
www.kivi.si	479
3dshark.si	479
www.kompas.si	477
www.druzina.si	476
www.fhs.upr.si	476
honka.com	476
etc-adriatic.si	475
www.202122.kiblix.org	475
urbaniizziv.uirs.si	473
www.edusinfo.si	471
www.bigbang.si	470
www.eventim.si	469
icp-lj.si	469
www.sloski.si	469
www.nova-gorica.si	468
www.ee.fs.uni-lj.si	467
zgodovina.si	466
www.supernova-ljubljana.si	466
www.kreatif-design.com	466
www.vitalia.si	464
1nadan.si	464
www.cd-cc.si	463
www.dobrinasveti.si	463
www.osha.mddsz.gov.si	462
www.senkovadomacija.si	461
transatlantik.si	460
cityofwomen.org	460
www.monitor.si	460
www.geoplin.si	459
www.franciskani.si	458
www.planica.si	458
ratan.si	457
racunalniske-novice.com	457
maln.eu	456
www.tetraktis.si	456
omisli.si	456
www.cugelj.si	455
www.turisticnekmetije.si	455
dutb.eu	455
www.terme-dobrna.si	454
sigledal.org	454
slovarms.si	454
d1gbc8qtydnad7.cloudfront.net	454
www.nc-planica.si	454
www.vecer.com	453
uifs.zrc-sazu.si	452
www.qlzoo.si	451
sl.asayamind.com	451
www.rivieracrikvenica.com	451
en.coks.si	449
drama.si	449
creativecommons.org	449
www.subrinaprofessional.com	449
www.oglasi.si	448
bock.si	448
www.rossmax.com	446
www.institut-icanna.com	446
www.viaslovenia.com	446
arhiv.kulturnidom-ng.si	445
www.orisa.si	444
www.vsinasveti.si	444
www.kamnaizlet.si	444
alveus.si	443
www.visitskofjaloka.si	443
www.sava-re.si	442
www.inst-antonatrstenjaka.si	442
www.tp-lj.si	441
b2b.elkotex.si	441
www.fis.unm.si	441
www.fini-unm.si	440
www.realestate-slovenia.info	440
www.mojmojster.net	440
dobranovica.si	440
www.vidaflag.si	440
www.kocevskibrlog.com	439
metropola.si	439
nsk.mg-lj.si	439
www.zaps.si	439
www.camping-adriatic.com	438
sl.gadget-info.com	438
usersite.datalab.eu	437
morel.si	437
www.bosch-easycontrol.com	437
greenhills.si	436
remit.agen-rs.si	435
fastforwardonline.com	434
www.startupnovagorica.si	434
www.terme-catez.si	434
www.primorski-tp.si	433
www.skocjanski-zatok.org	433
www.agencijaspin.si	432
rralur.si	432
reporter.si	432
www.enaa.com	432
arriva.si	432
wiki.fkkt.uni-lj.si	431
skupnostobcin.si	430
www.alternator.science	429
www.lugos.si	429
docplayer.si	429
radio.ognjisce.si	429
www.visitdobrna.si	428
andraz-tersek.si	427
www.intersport.si	426
arhiv.mirenski-grad.si	425
2014.festivalmaribor.si	425
www.gobe.si	425
www.supernova-qlandia-novomesto.si	425
shopdelta.eu	425
www.mladinska-knjiga.si	422
ljubno-skoki.si	422
www.hotel-mitra.si	422
agp.si	421
www.piran2025.eu	420
www.mobile.si	419
www.enikam.si	418
www.domel.com	418
www.lopa.si	418
karra.si	417
www.moro.si	417
www.merkur.si	417
www.imi.si	417
firerescue.shop	416
www.makspro.si	415
almamater.si	415
rakmo.si	414
www.atlantida-rogaska.si	414
www.tehnoplus.si	414
www.ckz.si	414
www.rositeh.si	414
katoliska-cerkev.si	414
www.sipronika.si	413
www.kamnik.si	413
izvirna-vipavska.si	413
www.jadek-pensa.si	412
www.lifewolfalps.eu	411
www.fzab.si	410
www.harveynorman.si	410
dar.zrsvn.si	410
www.prima-filtertehnika.si	409
www.alaja.si	409
www.prestige-nekretnine.com	409
www.gradez.si	407
www.ihps.si	407
www.kabuki.si	407
www.porsche.si	406
www.stud-dom-lj.si	406
www.brodi.si	405
www.ns-piz.si	405
www.schiedel.com	405
sikaluzoo.si	405
www.belakrajina.si	405
vlagatelj.atvp.si	405
www.biggreenegg.eu	405
www.altes.si	405
www.tosama.si	403
www.adittec.si	403
